127.0.0.1 - - [12/Dec/2020:11:58:50 +0800] "GET / HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [12/Dec/2020:11:58:53 +0800] "GET /stuinfo3/ HTTP/1.1" 404 648
0:0:0:0:0:0:0:1 - - [12/Dec/2020:11:59:05 +0800] "GET /stuinfo3/login HTTP/1.1" 200 2022
0:0:0:0:0:0:0:1 - - [12/Dec/2020:11:59:05 +0800] "GET /stuinfo3/resources/vendor/jquery/jquery-3.3.1.js;jsessionid=BEE01D9E47D2A64D53F52325FB65583F HTTP/1.1" 200 271751
0:0:0:0:0:0:0:1 - - [12/Dec/2020:11:59:05 +0800] "GET /stuinfo3/resources/vendor/bootstrap-4.4.1-dist/js/bootstrap.min.js;jsessionid=BEE01D9E47D2A64D53F52325FB65583F HTTP/1.1" 200 60010
0:0:0:0:0:0:0:1 - - [12/Dec/2020:11:59:05 +0800] "GET /stuinfo3/resources/vendor/bootstrap-4.4.1-dist/css/bootstrap.min.css;jsessionid=BEE01D9E47D2A64D53F52325FB65583F HTTP/1.1" 200 159515
0:0:0:0:0:0:0:1 - - [12/Dec/2020:11:59:05 +0800] "GET /stuinfo3/resources/vendor/popper.js/popper.min.js;jsessionid=BEE01D9E47D2A64D53F52325FB65583F HTTP/1.1" 200 21004
0:0:0:0:0:0:0:1 - - [12/Dec/2020:11:59:19 +0800] "POST /stuinfo3/login;jsessionid=BEE01D9E47D2A64D53F52325FB65583F HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Dec/2020:11:59:20 +0800] "GET /stuinfo3/students HTTP/1.1" 200 8127
0:0:0:0:0:0:0:1 - - [12/Dec/2020:11:59:20 +0800] "GET /stuinfo3/resources/vendor/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 200 159515
0:0:0:0:0:0:0:1 - - [12/Dec/2020:11:59:20 +0800] "GET /stuinfo3/resources/pics/default.png HTTP/1.1" 200 15408
0:0:0:0:0:0:0:1 - - [12/Dec/2020:11:59:20 +0800] "GET /stuinfo3/resources/vendor/popper.js/popper.min.js HTTP/1.1" 200 21004
0:0:0:0:0:0:0:1 - - [12/Dec/2020:11:59:20 +0800] "GET /stuinfo3/resources/vendor/jquery/jquery-3.3.1.js HTTP/1.1" 200 271751
0:0:0:0:0:0:0:1 - - [12/Dec/2020:11:59:20 +0800] "GET /stuinfo3/students/124/photo HTTP/1.1" 200 92776
0:0:0:0:0:0:0:1 - - [12/Dec/2020:11:59:20 +0800] "GET /stuinfo3/resources/js/common.js HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [12/Dec/2020:11:59:20 +0800] "GET /stuinfo3/students/125/photo HTTP/1.1" 200 20424
0:0:0:0:0:0:0:1 - - [12/Dec/2020:11:59:20 +0800] "GET /stuinfo3/students/161/photo HTTP/1.1" 200 61069
0:0:0:0:0:0:0:1 - - [12/Dec/2020:11:59:20 +0800] "GET /stuinfo3/students/156/photo HTTP/1.1" 200 33916
0:0:0:0:0:0:0:1 - - [12/Dec/2020:11:59:20 +0800] "GET /stuinfo3/resources/vendor/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 200 60010
0:0:0:0:0:0:0:1 - - [12/Dec/2020:11:59:20 +0800] "GET /stuinfo3/students/177/photo HTTP/1.1" 200 333765
0:0:0:0:0:0:0:1 - - [12/Dec/2020:11:59:28 +0800] "GET /stuinfo3/logout HTTP/1.1" 200 1802
