127.0.0.1 - - [16/Dec/2020:11:13:25 +0800] "GET / HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [16/Dec/2020:11:13:28 +0800] "GET /stuinfo3/ HTTP/1.1" 200 2022
0:0:0:0:0:0:0:1 - - [16/Dec/2020:11:13:28 +0800] "GET /stuinfo3/resources/vendor/bootstrap-4.4.1-dist/js/bootstrap.min.js;jsessionid=C20CD7B3067B3618083AA1863C823C6C HTTP/1.1" 200 60010
0:0:0:0:0:0:0:1 - - [16/Dec/2020:11:13:28 +0800] "GET /stuinfo3/resources/vendor/jquery/jquery-3.3.1.js;jsessionid=C20CD7B3067B3618083AA1863C823C6C HTTP/1.1" 200 271751
0:0:0:0:0:0:0:1 - - [16/Dec/2020:11:13:28 +0800] "GET /stuinfo3/resources/vendor/popper.js/popper.min.js;jsessionid=C20CD7B3067B3618083AA1863C823C6C HTTP/1.1" 200 21004
0:0:0:0:0:0:0:1 - - [16/Dec/2020:11:13:28 +0800] "GET /stuinfo3/resources/vendor/bootstrap-4.4.1-dist/css/bootstrap.min.css;jsessionid=C20CD7B3067B3618083AA1863C823C6C HTTP/1.1" 200 159515
0:0:0:0:0:0:0:1 - - [16/Dec/2020:11:13:51 +0800] "GET /stuinfo3/ HTTP/1.1" 200 2022
0:0:0:0:0:0:0:1 - - [16/Dec/2020:11:13:52 +0800] "GET /stuinfo3/resources/vendor/popper.js/popper.min.js;jsessionid=B6BF4879F3ABBBA8293A51E007E0B80D HTTP/1.1" 200 21004
0:0:0:0:0:0:0:1 - - [16/Dec/2020:11:13:52 +0800] "GET /stuinfo3/resources/vendor/bootstrap-4.4.1-dist/js/bootstrap.min.js;jsessionid=B6BF4879F3ABBBA8293A51E007E0B80D HTTP/1.1" 200 60010
0:0:0:0:0:0:0:1 - - [16/Dec/2020:11:13:52 +0800] "GET /stuinfo3/resources/vendor/bootstrap-4.4.1-dist/css/bootstrap.min.css;jsessionid=B6BF4879F3ABBBA8293A51E007E0B80D HTTP/1.1" 200 159515
0:0:0:0:0:0:0:1 - - [16/Dec/2020:11:13:52 +0800] "GET /stuinfo3/resources/vendor/jquery/jquery-3.3.1.js;jsessionid=B6BF4879F3ABBBA8293A51E007E0B80D HTTP/1.1" 200 271751
0:0:0:0:0:0:0:1 - - [16/Dec/2020:11:13:53 +0800] "GET /favicon.ico HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [16/Dec/2020:11:14:08 +0800] "POST /stuinfo3/login;jsessionid=B6BF4879F3ABBBA8293A51E007E0B80D HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Dec/2020:11:14:09 +0800] "GET /stuinfo3/students HTTP/1.1" 200 6539
0:0:0:0:0:0:0:1 - - [16/Dec/2020:11:14:09 +0800] "GET /stuinfo3/resources/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2020:11:14:23 +0800] "GET /stuinfo3/students?qryStuName=&qryBeginMark=0&qryEndMark=100 HTTP/1.1" 200 8890
0:0:0:0:0:0:0:1 - - [16/Dec/2020:11:14:24 +0800] "GET /stuinfo3/students/177/photo HTTP/1.1" 200 333765
0:0:0:0:0:0:0:1 - - [16/Dec/2020:11:14:24 +0800] "GET /stuinfo3/students/161/photo HTTP/1.1" 200 61069
0:0:0:0:0:0:0:1 - - [16/Dec/2020:11:14:24 +0800] "GET /stuinfo3/students/125/photo HTTP/1.1" 200 20424
0:0:0:0:0:0:0:1 - - [16/Dec/2020:11:14:24 +0800] "GET /stuinfo3/students/124/photo HTTP/1.1" 200 92776
0:0:0:0:0:0:0:1 - - [16/Dec/2020:11:14:24 +0800] "GET /stuinfo3/students/156/photo HTTP/1.1" 200 33916
