127.0.0.1 - - [19/Dec/2020:19:36:09 +0800] "GET / HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [19/Dec/2020:19:36:11 +0800] "GET /stuinfo3/ HTTP/1.1" 200 2022
0:0:0:0:0:0:0:1 - - [19/Dec/2020:19:36:12 +0800] "GET /stuinfo3/resources/vendor/popper.js/popper.min.js;jsessionid=085428CFFFE45A2B780AC6D9FC7421E1 HTTP/1.1" 200 21004
0:0:0:0:0:0:0:1 - - [19/Dec/2020:19:36:12 +0800] "GET /stuinfo3/resources/vendor/bootstrap-4.4.1-dist/js/bootstrap.min.js;jsessionid=085428CFFFE45A2B780AC6D9FC7421E1 HTTP/1.1" 200 60010
0:0:0:0:0:0:0:1 - - [19/Dec/2020:19:36:12 +0800] "GET /stuinfo3/resources/vendor/bootstrap-4.4.1-dist/css/bootstrap.min.css;jsessionid=085428CFFFE45A2B780AC6D9FC7421E1 HTTP/1.1" 200 159515
0:0:0:0:0:0:0:1 - - [19/Dec/2020:19:36:12 +0800] "GET /stuinfo3/resources/vendor/jquery/jquery-3.3.1.js;jsessionid=085428CFFFE45A2B780AC6D9FC7421E1 HTTP/1.1" 200 271751
0:0:0:0:0:0:0:1 - - [19/Dec/2020:19:36:27 +0800] "POST /stuinfo3/login;jsessionid=085428CFFFE45A2B780AC6D9FC7421E1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Dec/2020:19:36:28 +0800] "GET /stuinfo3/students HTTP/1.1" 200 6539
0:0:0:0:0:0:0:1 - - [19/Dec/2020:19:36:28 +0800] "GET /stuinfo3/resources/pics/default.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2020:19:36:28 +0800] "GET /stuinfo3/resources/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2020:19:36:42 +0800] "GET /stuinfo3/students HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Dec/2020:19:36:44 +0800] "GET /stuinfo3/login HTTP/1.1" 200 1802
0:0:0:0:0:0:0:1 - - [19/Dec/2020:19:36:44 +0800] "GET /stuinfo3/resources/vendor/popper.js/popper.min.js HTTP/1.1" 200 21004
