127.0.0.1 - - [03/Jan/2021:20:31:18 +0800] "GET / HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [03/Jan/2021:20:32:24 +0800] "GET /stuinfo3/students?pageNo=1&qryStuName=&qryBeginMark=0.0&qryEndMark=100.0&qryStuSex=M&qryStuOrigin=FZ HTTP/1.1" 200 10217
0:0:0:0:0:0:0:1 - - [03/Jan/2021:20:32:27 +0800] "GET /stuinfo3/students?pageNo=1&qryStuName=&qryBeginMark=0.0&qryEndMark=100.0&qryStuSex=M&qryStuOrigin=XM HTTP/1.1" 200 10217
0:0:0:0:0:0:0:1 - - [03/Jan/2021:20:32:29 +0800] "GET /stuinfo3/students?pageNo=1&qryStuName=&qryBeginMark=0.0&qryEndMark=100.0&qryStuSex=M&qryStuOrigin=QZ HTTP/1.1" 200 10217
0:0:0:0:0:0:0:1 - - [03/Jan/2021:20:32:31 +0800] "GET /stuinfo3/students?pageNo=1&qryStuName=&qryBeginMark=0.0&qryEndMark=100.0&qryStuSex=M&qryStuOrigin=NP HTTP/1.1" 200 10217
0:0:0:0:0:0:0:1 - - [03/Jan/2021:20:32:34 +0800] "GET /stuinfo3/students?pageNo=1&qryStuName=&qryBeginMark=0.0&qryEndMark=100.0&qryStuSex=&qryStuOrigin=NP HTTP/1.1" 200 10209
0:0:0:0:0:0:0:1 - - [03/Jan/2021:20:32:36 +0800] "GET /stuinfo3/students?pageNo=1&qryStuName=&qryBeginMark=0.0&qryEndMark=100.0&qryStuSex=&qryStuOrigin=FZ HTTP/1.1" 200 10209
0:0:0:0:0:0:0:1 - - [03/Jan/2021:20:32:39 +0800] "GET /stuinfo3/students?pageNo=1&qryStuName=&qryBeginMark=0.0&qryEndMark=100.0&qryStuSex=&qryStuOrigin= HTTP/1.1" 200 12301
0:0:0:0:0:0:0:1 - - [03/Jan/2021:20:32:39 +0800] "GET /stuinfo3/students/188/photo HTTP/1.1" 200 92776
0:0:0:0:0:0:0:1 - - [03/Jan/2021:20:32:39 +0800] "GET /stuinfo3/students/179/photo HTTP/1.1" 200 15429
0:0:0:0:0:0:0:1 - - [03/Jan/2021:20:32:39 +0800] "GET /stuinfo3/students/178/photo HTTP/1.1" 200 15429
0:0:0:0:0:0:0:1 - - [03/Jan/2021:20:32:44 +0800] "GET /stuinfo3/students?pageNo=1&qryStuName=&qryBeginMark=0.0&qryEndMark=100.0&qryStuSex=F&qryStuOrigin=XM HTTP/1.1" 200 10757
0:0:0:0:0:0:0:1 - - [03/Jan/2021:20:32:44 +0800] "GET /stuinfo3/students/188/photo HTTP/1.1" 200 92776
