127.0.0.1 - - [08/Dec/2020:22:25:12 +0800] "GET / HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [08/Dec/2020:22:25:22 +0800] "GET /stuinfo3/ HTTP/1.1" 200 8091
0:0:0:0:0:0:0:1 - - [08/Dec/2020:22:25:23 +0800] "GET /stuinfo3/students;jsessionid=8A519D7CD6767DABC862329D1522AE9B/177/photo HTTP/1.1" 200 333765
0:0:0:0:0:0:0:1 - - [08/Dec/2020:22:25:23 +0800] "GET /stuinfo3/students;jsessionid=8A519D7CD6767DABC862329D1522AE9B/124/photo HTTP/1.1" 200 92776
0:0:0:0:0:0:0:1 - - [08/Dec/2020:22:25:23 +0800] "GET /stuinfo3/students;jsessionid=8A519D7CD6767DABC862329D1522AE9B/161/photo HTTP/1.1" 200 61069
0:0:0:0:0:0:0:1 - - [08/Dec/2020:22:25:23 +0800] "GET /stuinfo3/students;jsessionid=8A519D7CD6767DABC862329D1522AE9B/125/photo HTTP/1.1" 200 20424
0:0:0:0:0:0:0:1 - - [08/Dec/2020:22:25:23 +0800] "GET /stuinfo3/students;jsessionid=8A519D7CD6767DABC862329D1522AE9B/156/photo HTTP/1.1" 200 33916
0:0:0:0:0:0:0:1 - - [08/Dec/2020:22:25:23 +0800] "GET /stuinfo3/students;jsessionid=8A519D7CD6767DABC862329D1522AE9B/159/photo HTTP/1.1" 200 54282
0:0:0:0:0:0:0:1 - - [08/Dec/2020:22:25:23 +0800] "GET /stuinfo3/resources/pics/default.png;jsessionid=8A519D7CD6767DABC862329D1522AE9B HTTP/1.1" 200 15408
0:0:0:0:0:0:0:1 - - [08/Dec/2020:22:25:23 +0800] "GET /stuinfo3/resources/vendor/bootstrap-4.4.1-dist/js/bootstrap.min.js;jsessionid=8A519D7CD6767DABC862329D1522AE9B HTTP/1.1" 200 60010
0:0:0:0:0:0:0:1 - - [08/Dec/2020:22:25:23 +0800] "GET /stuinfo3/resources/vendor/bootstrap-4.4.1-dist/css/bootstrap.min.css;jsessionid=8A519D7CD6767DABC862329D1522AE9B HTTP/1.1" 200 159515
0:0:0:0:0:0:0:1 - - [08/Dec/2020:22:25:23 +0800] "GET /stuinfo3/resources/vendor/popper.js/popper.min.js;jsessionid=8A519D7CD6767DABC862329D1522AE9B HTTP/1.1" 200 21004
0:0:0:0:0:0:0:1 - - [08/Dec/2020:22:25:23 +0800] "GET /stuinfo3/resources/js/common.js;jsessionid=8A519D7CD6767DABC862329D1522AE9B HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [08/Dec/2020:22:25:23 +0800] "GET /stuinfo3/resources/vendor/jquery/jquery-3.3.1.js;jsessionid=8A519D7CD6767DABC862329D1522AE9B HTTP/1.1" 200 271751
0:0:0:0:0:0:0:1 - - [08/Dec/2020:22:25:32 +0800] "POST /stuinfo3/students;jsessionid=8A519D7CD6767DABC862329D1522AE9B/159 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2020:22:25:32 +0800] "GET /stuinfo3/students HTTP/1.1" 200 6929
0:0:0:0:0:0:0:1 - - [08/Dec/2020:22:25:32 +0800] "GET /stuinfo3/students/156/photo HTTP/1.1" 200 33916
0:0:0:0:0:0:0:1 - - [08/Dec/2020:22:25:32 +0800] "GET /stuinfo3/students/161/photo HTTP/1.1" 200 61069
0:0:0:0:0:0:0:1 - - [08/Dec/2020:22:25:32 +0800] "GET /stuinfo3/students/125/photo HTTP/1.1" 200 20424
0:0:0:0:0:0:0:1 - - [08/Dec/2020:22:25:32 +0800] "GET /stuinfo3/students/124/photo HTTP/1.1" 200 92776
0:0:0:0:0:0:0:1 - - [08/Dec/2020:22:25:33 +0800] "GET /stuinfo3/resources/vendor/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 200 159515
0:0:0:0:0:0:0:1 - - [08/Dec/2020:22:25:33 +0800] "GET /stuinfo3/resources/vendor/jquery/jquery-3.3.1.js HTTP/1.1" 200 271751
0:0:0:0:0:0:0:1 - - [08/Dec/2020:22:25:33 +0800] "GET /stuinfo3/resources/pics/default.png HTTP/1.1" 200 15408
0:0:0:0:0:0:0:1 - - [08/Dec/2020:22:25:33 +0800] "GET /stuinfo3/resources/vendor/popper.js/popper.min.js HTTP/1.1" 200 21004
0:0:0:0:0:0:0:1 - - [08/Dec/2020:22:25:33 +0800] "GET /stuinfo3/students/177/photo HTTP/1.1" 200 333765
0:0:0:0:0:0:0:1 - - [08/Dec/2020:22:25:33 +0800] "GET /stuinfo3/resources/vendor/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 200 60010
0:0:0:0:0:0:0:1 - - [08/Dec/2020:22:25:33 +0800] "GET /stuinfo3/resources/js/common.js HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [08/Dec/2020:22:25:51 +0800] "GET /stuinfo3/students HTTP/1.1" 200 6929
